QualityCost,BaseCost,Time,QualityOfService
0.002276705,0.01354635,20:09,0.97675
0.0037789,0.014209583,20:12,0.98125
0.00678329,0.01553605,20:15,0.99025
0.006948935,0.015374533,20:19,0.99075
0.007280225,0.014209583,20:22,0.99175
0.007307808,0.012156002,20:25,0.991833333
0.007362974,0.012156002,20:29,0.992
0.007528327,0.013256526,20:32,0.9925
0.007859033,0.0110206,20:35,0.9935
0.007831491,0.0110206,20:39,0.993416667
0.007776408,0.01354635,20:42,0.99325
0.00774886,0.01354635,20:45,0.993166667
0.007693763,0.01354635,20:49,0.993