No,Name,Model,Manufacture,Architecture,OS,IP,DomainName,CPU,Core,Memory
1,rasp01-master,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,130.233.195.197,edge-k3s-r1.cs.aalto.fi,ARM Cortex-A72 ,4,4GB
2,rasp02-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,130.233.195.198,edge-k3s-r2.cs.aalto.fi,ARM Cortex-A72 ,4,4GB
3,rasp03-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,130.233.195.199,edge-k3s-r3.cs.aalto.fi,ARM Cortex-A72 ,4,4GB
4,rasp04-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,130.233.195.200,edge-k3s-r4.cs.aalto.fi,ARM Cortex-A72 ,4,4GB
5,rasp05-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,130.233.195.201,edge-k3s-r5.cs.aalto.fi,ARM Cortex-A72 ,4,4GB
6,rasp06-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,Na,Na,ARM Cortex-A72 ,4,4GB
7,rasp07-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,Na,Na,ARM Cortex-A72 ,4,4GB
8,rasp08-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,Na,Na,ARM Cortex-A72 ,4,4GB
9,rasp09-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,Na,Na,ARM Cortex-A72,4,4GB
10,rasp10-worker ,Raspberry Pi 4 Model B,Raspberry Pi Foundation,arm64,Ubuntu 22.04,Na,Na,ARM Cortex-A72,4,4GB
11,jet01-worker,NVIDIA Jetson Nano,NVIDIA Corporation,arm64,Ubuntu NVIDIA JetPack,130.233.195.202,edge-k3s-j1.cs.aalto.fi,ARM Cortex-A57,4,4GB
12,jet02-worker,NVIDIA Jetson Nano,NVIDIA Corporation,arm64,Ubuntu NVIDIA JetPack,130.233.195.203,edge-k3s-j2.cs.aalto.fi,ARM Cortex-A57,4,4GB
13,jet03-worker,NVIDIA Jetson Nano,NVIDIA Corporation,arm64,Ubuntu NVIDIA JetPack,130.233.195.204,edge-k3s-j3.cs.aalto.fi,ARM Cortex-A57,4,4GB
14,jet04-worker,NVIDIA Jetson Nano,NVIDIA Corporation,arm64,Ubuntu NVIDIA JetPack,130.233.195.205,edge-k3s-j4.cs.aalto.fi,ARM Cortex-A57,4,4GB
15,jet05-worker,NVIDIA Jetson Orin Nano,NVIDIA Corporation,arm64,Ubuntu NVIDIA JetPack,Na,Na,ARM Cortex-A78AE,6,4GB
16,jet06-worker,NVIDIA Jetson AGX Xavier,NVIDIA Corporation,arm64,Ubuntu NVIDIA JetPack,130.233.195.206,edge-k3s-j6.cs.aalto.fi,ARM Carmel v8.2,8,16GB
17,beelink01,Beelink BT3,Beelink,x86,Ubuntu 22.04,Na,Na,Intel Atom x5-Z8300,4,4GB
18,beelink02,Beelink BT3,Beelink,x86,Ubuntu 22.04,Na,Na,Intel Atom x5-Z8301,4,4GB
19,beelink03,Beelink BT3,Beelink,x86,Ubuntu 22.04,Na,Na,Intel Atom x5-Z8302,4,4GB
20,beelink04,Beelink BT3,Beelink,x86,Ubuntu 22.04,Na,Na,Intel Atom x5-Z8303,4,4GB
21,rockpi01,Rock Pi N10,Radxa,arm64,RockPin10 Fedora Server 28 ,Na,Na,ARM Cortex-A72,2,4GB